"Qty","Value","Datasheet","LCSC Part No."
"2","1A","39211000000 | Littelfuse | Price | In Stock | LCSC Electronics","C99566"
"1","Arduino_Nano_v3.x","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf",""
"1","NRF24L01_Breakout","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf",""
"1","L298N","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000240.pdf"," C434589 "
"1","XT30","https://nz.mouser.com/ProductDetail/DFRobot/FIT0586?qs=w%2Fv1CP2dgqouWR8IxqIK1w%3D%3D","C99101"
"1","Screw_Terminal_01x02","https://www.jaycar.co.nz/2-way-pcb-mount-screw-terminals-5mm-pitch/p/HM3172",""
"2","100nF","https://www.jaycar.co.nz/220uf-50vdc-electrolytic-rb-capacitor/p/RE6180","C1620866"
"2","10uF","https://www.lcsc.com/datasheet/C216300.pdf","C216300"
"1","1N5359B","https://www.lcsc.com/datasheet/C2903832.pdf","C2903832"
"1","C_Snub","https://www.lcsc.com/product-detail/C1620866.html","C1620866"
"1","100nF","https://www.lcsc.com/product-detail/C1620866.html","C1620866"
"12","1.5KE39CA (TVS)","https://www.lcsc.com/product-detail/C3034419.html?s_z=n_1.5KE39CA","C3034419"
"4","1N5819","https://www.st.com/en/diodes-and-rectifiers/1n5819.html"," C402218 "
"1","9V Battery","~",""
"1","Green","~",""
"1","Red","~",""
"4","M4","~",""
"1","Conn_01x08_Socket","~",""
"1","Conn_01x03_Socket","~",""
"11","100","~",""
"1","1K","~",""
"1","R_snub","~",""
"2","100k","~",""
"2","20k","~",""
"1","1k","~",""
