Designator,Mid X,Mid Y,Rotation,Layer
A2,132.12,-73.77,180.0,top
C1,103.544888,-75.2,0.0,top
C2,110.0,-97.5,0.0,top
C3,103.544888,-82.5,0.0,top
C4,90.0,-89.5,180.0,top
C5,98.5,-106.0,180.0,top
C6,160.5,-53.0,0.0,top
C9,160.5,-76.5,270.0,top
D1,141.5,-104.0325,180.0,top
D10,117.13,-59.82,270.0,top
D11,188.41,-67.5,180.0,top
D12,98.25,-110.95,0.0,top
D13,111.25,-111.0,180.0,top
D14,188.36,-80.8,180.0,top
D15,188.36,-93.0,180.0,top
D16,98.56,-115.5,180.0,top
D17,111.18,-115.5,0.0,top
D18,165.1,-102.35,180.0,top
D19,165.09,-90.175,180.0,top
D2,97.0,-80.34,90.0,top
D20,96.05,-120.5,180.0,top
D3,110.93,-59.78,270.0,top
D4,144.0,-118.0325,0.0,top
D5,97.83,-61.5,270.0,top
D6,149.57,-64.15,270.0,top
D7,155.97,-64.15,270.0,top
D8,195.25,-113.85,270.0,top
D9,113.75,-120.5,0.0,top
F1,137.5,-110.5325,90.0,top
F2,91.0,-69.96,270.0,top
J1,104.75,-131.4675,0.0,top
J2,104.43,-57.6,90.0,top
J3,140.5,-131.4675,0.0,top
J4,187.79,-99.3,90.0,top
J5,152.735,-53.0,270.0,top
R1,150.31,-77.3,0.0,top
R11,114.5,-105.5,180.0,top
R12,115.68,-80.55,0.0,top
R13,144.03,-62.88,90.0,top
R14,189.73,-60.6,180.0,top
R15,189.63,-74.45,180.0,top
R16,189.63,-86.6,180.0,top
R18,115.68,-84.6,180.0,top
R19,115.68,-88.65,0.0,top
R2,150.31,-81.35,0.0,top
R20,115.75,-92.45,180.0,top
R22,117.13,-70.43,90.0,top
R3,150.33,-89.3,0.0,top
R4,150.33,-93.1,0.0,top
R5,110.93,-70.47,90.0,top
R6,150.33,-85.5,0.0,top
R8,166.29,-96.15,180.0,top
R9,166.31,-83.75,180.0,top
U3,169.415,-76.2695,90.0,top
U4,93.73,-96.29,180.0,top
